Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Standalone Prospectus,Standalone prospectus,Max 5000000,,18/10/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023958,,18/10/2023,,NBS1-000-090-137
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 200000000,13/10/2023,13/10/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003555146,13/10/2023,13/10/2023,CZECHIA,100-000-593-561
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,13/10/2023,13/10/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003555112,13/10/2023,13/10/2023,CZECHIA,100-000-593-578
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 21000000,,11/10/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022083,,12/10/2023,,100-000-591-860
Standalone Prospectus,Standalone prospectus,Max 10000000,,10/10/2023,SLOVAKIA,Debt with denomination < €100.000,"Alto RE SPV 9, s. r. o. - 097900CAKA0000152556",SK4000023933,,12/10/2023,,NBS1-000-089-854
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 25000000,,09/10/2023,SLOVAKIA,Debt with denomination < €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000023925,,09/10/2023,,100-000-589-969
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1500000,,05/10/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000023842,,05/10/2023,,100-000-587-728
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,05/10/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000023867,,05/10/2023,,100-000-587-729
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,05/10/2023,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023917,,05/10/2023,,100-000-588-631
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,05/10/2023,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023909,,05/10/2023,,100-000-588-626
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,05/10/2023,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023891,,16/10/2023,,100-000-588-624
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 11000000,,05/10/2023,SLOVAKIA,Derivative securities,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023883,,16/10/2023,,100-000-588-623
Standalone Prospectus,Standalone prospectus,Max 7000000,,03/10/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023792,,05/10/2023,,NBS1-000-089-616
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,02/10/2023,02/10/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Prima banka Slovensko, a.s. - 315700K45LRKNGMUIW27",SK4000023834,02/10/2023,02/10/2023,LUXEMBOURG,100-000-586-051
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 65000000,02/10/2023,29/09/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"365.bank, a. s. - 315700PLTAXHBHZP5J02",XS2698768913,02/10/2023,02/10/2023,LUXEMBOURG,NBS1-000-087-735
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,28/09/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000021879,,29/09/2023,,100-000-582-553
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,21/09/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000021879,,22/09/2023,,100-000-580-182
Standalone Prospectus,Standalone prospectus,Max 10000000,,20/09/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023800,,20/09/2023,,NBS1-000-089-415
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,,19/09/2023,SLOVAKIA,Debt with denomination < €100.000,"365.bank, a. s. - 315700PLTAXHBHZP5J02",SK4000023693,,19/09/2023,,100-000-579-117
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 20000000,,14/09/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023750,,14/09/2023,,100-000-576-978
Standalone Prospectus,Standalone prospectus,Max 15000000,,13/09/2023,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000023594,,14/09/2023,,NBS1-000-089-131
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,11/09/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023750,,11/09/2023,,100-000-574-281
Standalone Prospectus,Standalone prospectus,Max 5000000,,06/09/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023677,,07/09/2023,,NBS1-000-088-706
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2500000,,06/09/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000023495,,07/09/2023,,100-000-573-678
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,06/09/2023,05/09/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Všeobecná úverová banka, a.s. - 549300JB1P61FUTPEZ75",SK4000023685,06/09/2023,06/09/2023,LUXEMBOURG,100-000-573-111
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,25/08/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023636,,30/08/2023,,100-000-568-965
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,25/08/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023321,,30/08/2023,,100-000-568-963
Standalone Prospectus,Standalone prospectus,Max 5000000,,16/08/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023586,,16/08/2023,,NBS1-000-087-988
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 39200000,,27/07/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023305,,31/07/2023,,100-000-551-559
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 8000000,,26/07/2023,SLOVAKIA,Debt with denomination < €100.000,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023545,,31/07/2023,,100-000-551-563
Standalone Prospectus,Standalone prospectus,Max 5000000,,18/07/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023511,,19/07/2023,,NBS1-000-087-229
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,,17/07/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023503,,18/07/2023,,100-000-547-739
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 28000000,18/07/2023,11/07/2023,SLOVAKIA,Debt with denomination < €100.000,BUBBU s.r.o. - 097900CAKA0000123359,SK4000023479,18/07/2023,18/07/2023,CZECHIA,100-000-543-262
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 400000000,12/07/2023,11/07/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003552598,12/07/2023,12/07/2023,CZECHIA,100-000-544-102
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 400000000,12/07/2023,11/07/2023,SLOVAKIA,Debt with denomination ≥ €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003552606,12/07/2023,12/07/2023,CZECHIA,100-000-544-103
Standalone Prospectus,Standalone prospectus,Max 10000000,,06/07/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023438,,07/07/2023,,NBS1-000-086-907
Standalone Prospectus,Standalone prospectus,Max 5000000,,28/06/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023339,,29/06/2023,,NBS1-000-086-369
Standalone Prospectus,Standalone prospectus,Max 40000000,,27/06/2023,SLOVAKIA,Debt with denomination < €100.000,"Východoslovenská vodárenská spoločnosť, a.s. - 213800KZBUKL7G5OPF59",SK4000023198,,29/06/2023,,NBS1-000-086-366
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,19/06/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023305,,20/06/2023,,100-000-533-569
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 25000000,,15/06/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000023305,,20/06/2023,,100-000-533-567
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 7000000,,09/06/2023,SLOVAKIA,Debt with denomination < €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000023172,,12/06/2023,,100-00-527-587
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,07/06/2023,07/06/2023,SLOVAKIA,Debt with denomination < €100.000,UNIPRO Capital a.s. - 3157002ET5519GVO9637,SK4000023263,07/06/2023,07/06/2023,LUXEMBOURG,100-000-525-955
Standalone Prospectus,Standalone prospectus,Max 47000000,,02/06/2023,SLOVAKIA,Debt with denomination < €100.000,"JTRE financing 2, s.r.o. - 097900BIFX0000156652",SK4000023206,,02/06/2023,,NBS1-000-085-574
Standalone Prospectus,Standalone prospectus,Max 150000000,31/05/2023,30/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta RE Funding II, s.r.o. - 097900BHKT0000085550",SK4000023180,31/05/2023,31/05/2023,CZECHIA,NBS1-000-085-436
Standalone Prospectus,Standalone prospectus,Max 10000000,,26/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Lucron Finance 4, s.r.o. - 097900CAKA0000137230",SK4000023099,,29/05/2023,,NBS1-000-085-230
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,22/05/2023,SLOVAKIA,Debt with denomination < €100.000 available only to qualified investors,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023123,,22/05/2023,,100-000-518-306
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,22/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023107,,22/05/2023,,100-000-518-305
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,22/05/2023,SLOVAKIA,Debt with denomination < €100.000 available only to qualified investors,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000023115,,22/05/2023,,100-000-518-303
Base Prospectus,Base prospectus without Final terms,,25/05/2023,15/05/2023,SLOVAKIA,Debt with denomination < €100.000,Log Sympatia Holding a.s. - 097900CAKA0000135581,,23/05/2023,23/05/2023,CZECHIA,NBS1-000-084-623
Standalone Prospectus,Standalone prospectus,Max 10000000,,12/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Lucron Finance, s.r.o. - 097900BIGF0000158939",SK4000022935,,17/05/2023,,NBS1-000-084-831
Standalone Prospectus,Standalone prospectus,Max 10000000,,11/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000023024,,12/05/2023,,NBS1-000-084-689
Standalone Prospectus,Standalone prospectus,Max 5000000,,04/05/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022992,,05/05/2023,,NBS1-000-084-487
Standalone Prospectus,Standalone prospectus,Max 50000,,27/04/2023,SLOVAKIA,Shares,PROXPER a. s. - 097900CAKA0000102989,SK1000026577,,02/05/2023,,NBS1-000-084-173
Standalone Prospectus,Standalone prospectus,Max 5000000,,26/04/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022869,,27/04/2023,,NBS1-000-083-993
Standalone Prospectus,Standalone prospectus,Max 30000000,,24/04/2023,SLOVAKIA,Debt with denomination < €100.000,JTSEC Financing I a. s. - 097900CAKA0000127045,SK4000022950,,26/04/2023,,NBS1-000-084-245
Standalone Prospectus,Standalone prospectus,Max 5000000,,19/04/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022851,,19/04/2023,,NBS1-000-083-909
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,12/04/2023,11/04/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Všeobecná úverová banka, a.s. - 549300JB1P61FUTPEZ75",SK4000022828,12/04/2023,12/04/2023,LUXEMBOURG,100-000-497-370
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,12/04/2023,11/04/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003549974,12/04/2023,12/04/2023,CZECHIA,100-000-497-428
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 410000000,12/04/2023,11/04/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003549933,12/04/2023,12/04/2023,CZECHIA,100-000-497-499
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 25000000,,11/04/2023,SLOVAKIA,Debt with denomination < €100.000,"JTRE Financing 4, s. r. o. - 097900CAKA0000106190",SK4000022760,,11/04/2023,,100-000-497-088
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2000000,,28/03/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000021671,,28/03/2023,,100-000-491-292
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,28/03/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000021689,,28/03/2023,,100-000-491-298
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,28/03/2023,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000022422,,28/03/2023,,100-000-491-300
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 65000000,27/03/2023,24/03/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003549685,27/03/2023,27/03/2023,CZECHIA,100-000-489-932
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 65000000,27/03/2023,24/03/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003549693,27/03/2023,27/03/2023,CZECHIA,100-000-489-935
Standalone Prospectus,Standalone prospectus,Max 30000000,,23/03/2023,SLOVAKIA,Debt with denomination < €100.000,Form Development SK s. r. o. - 097900CAKA0000127724,SK4000022703,,27/03/2023,,NBS1-000-083-163
Standalone Prospectus,Standalone prospectus,Max 95000000,22/03/2023,21/03/2023,SLOVAKIA,Debt with denomination < €100.000,FCM BANK LIMITED - 213800ZOI1EW481WPV90,MT0002691211,22/03/2023,22/03/2023,CZECHIA,NBS1-000-083-026
Standalone Prospectus,Standalone prospectus,Max 5000000,,15/03/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022653,,16/03/2023,,NBS1-000-082-712
Standalone Prospectus,Standalone prospectus,Max 150000000,15/03/2023,14/03/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta RE Funding II, s.r.o. - 097900BHKT0000085550",SK4000022661,15/03/2023,15/03/2023,CZECHIA,NBS1-000-082-804
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,08/03/2023,07/03/2023,SLOVAKIA,Debt with denomination < €100.000,CPI Finco Slovakia a.s. - 315700NADZZ4NVK0WO14,SK4000022638,08/03/2023,08/03/2023,CZECHIA,100-000-481-329
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,08/03/2023,07/03/2023,SLOVAKIA,Debt with denomination < €100.000,CPI Finco Slovakia a.s. - 315700NADZZ4NVK0WO14,SK4000022646,08/03/2023,08/03/2023,CZECHIA,100-000-481-330
Standalone Prospectus,Standalone prospectus,Max 25000000,,27/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000021622,,28/02/2023,,NBS1-000-081-530
Standalone Prospectus,Standalone prospectus,Max 10000000,,24/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Prime Tourist Resorts, a. s. - 097900BIHQ0000164073",SK4000021457,,24/02/2023,,NBS1-000-081-507
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,23/02/2023,23/02/2023,SLOVAKIA,Debt with denomination < €100.000,UNIPRO Capital a.s. - 3157002ET5519GVO9637,SK4000022588,23/02/2023,23/02/2023,CZECHIA,100-000-474-139
Standalone Prospectus,Standalone prospectus,Max 20000000,,20/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Across Funding, a.s. - 097900BHES0000070670",SK4000022471,,21/02/2023,,NBS1-000-081-823
Standalone Prospectus,Standalone prospectus,Max 5000000,,17/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022349,,17/02/2023,,NBS1-000-081-591
Standalone Prospectus,Standalone prospectus,Max 5000000,,17/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022356,,17/02/2023,,NBS1-000-081-595
Standalone Prospectus,Standalone prospectus,Max 30000000,,16/02/2023,SLOVAKIA,Debt with denomination < €100.000,"J&T ENERGY FINANCING EUR XIII, a. s. - 097900CAKA0000112592",SK4000022497,,17/02/2023,,NBS1-000-081-703
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 300000000,,15/02/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000022505,,16/02/2023,,100-000-468-931
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 22150000,,10/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000021598,,13/02/2023,,100-000-467-447
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,02/02/2023,SLOVAKIA,Debt with denomination < €100.000,"DIFOSIS, SE - 097900CAKA0000105511",SK4000022489,,02/02/2023,,100-000-463-130
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 75000000,,01/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022364,,02/02/2023,,100-000-462-178
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,01/02/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022455,,02/02/2023,,100-000-462-181
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 100000000,31/01/2023,31/01/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003548240,31/01/2023,31/01/2023,CZECHIA,100-000-460-569
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,31/01/2023,31/01/2023,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003548257,31/01/2023,31/01/2023,CZECHIA,100-000-460-568
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,31/01/2023,SLOVAKIA,Debt with denomination < €100.000,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000022406,,31/01/2023,,100-000-460-398
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,,27/01/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022398,,30/01/2023,,100-000-459-841
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 100000,,27/01/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000022430,,30/01/2023,,100-000-459-837
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,24/01/2023,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022364,,24/01/2023,,100-000-455-649
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000000,16/01/2023,13/01/2023,SLOVAKIA,Debt with denomination ≥ €100.000,"Prima banka Slovensko, a.s. - 315700K45LRKNGMUIW27",SK4000022323,16/01/2023,16/01/2023,LUXEMBOURG,100-000-452-739
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2500,28/12/2022,28/12/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"365.bank, a. s. - 315700PLTAXHBHZP5J02",SK4000020632,28/12/2022,28/12/2022,LUXEMBOURG,100-000-444-199
Standalone Prospectus,Standalone prospectus,Max 8000000,,29/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022208,,29/11/2022,,NBS1-000-078-373
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 10000000,,29/11/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022083,,30/11/2022,,100-000-427-077
Standalone Prospectus,Standalone prospectus,Max 8000000,,24/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000022158,,25/11/2022,,NBS1-000-078-152
Standalone Prospectus,Standalone prospectus,Max 100000000,22/11/2022,21/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Penta RE Funding II, s.r.o. - 097900BHKT0000085550",SK4000022190,22/11/2022,22/11/2022,CZECHIA,NBS1-000-078-216
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,15/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022067,,16/11/2022,,100-000-420-703
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 250000000,,11/11/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000022034,,14/11/2022,,100-000-419-674
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 30000000,,11/11/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"Tatra banka, a.s. - 3157002JBFAI478MD587",SK4000022174,,14/11/2022,,SK4000022174
Standalone Prospectus,Standalone prospectus,Max 5000000,,10/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Penta RE Funding II, s.r.o. - 097900BHKT0000085550",SK4000022133,,11/11/2022,,NBS1-000-417-550
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,07/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022075,,07/11/2022,,100-000-416-641
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 103000000,,07/11/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022083,,07/11/2022,,100-000-416-639
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 35000000,,07/11/2022,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022067,,07/11/2022,,100-000-416-640
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 35000000,,03/11/2022,SLOVAKIA,Debt with denomination < €100.000,"JTRE Financing 4, s. r. o. - 097900CAKA0000106190",SK4000022141,,04/11/2022,,100-000-415-944
Standalone Prospectus,Standalone prospectus,Max 7500000,,31/10/2022,SLOVAKIA,Debt with denomination < €100.000,"Lucron Finance, s.r.o. - 097900BIGF0000158939",SK4000020954,,10/11/2022,,NBS1-000-077-015
Standalone Prospectus,Standalone prospectus,Max 196000000,28/10/2022,27/10/2022,SLOVAKIA,Debt with denomination < €100.000,FCM BANK LIMITED - 213800ZOI1EW481WPV90,MT0002691203,28/10/2022,28/10/2022,CZECHIA,NBS1-000-077-576
Base Prospectus,Base prospectus without Final terms,,,26/10/2022,SLOVAKIA,,"JTRE Financing 4, s. r. o. - 097900CAKA0000106190",,,04/11/2022,,NBS1-000-077-563
Standalone Prospectus,Standalone prospectus,Max 50000000,,24/10/2022,SLOVAKIA,Debt with denomination < €100.000,"J&T ENERGY FINANCING EUR XII, a. s. - 097900CAKA0000109682",SK4000022042,,25/10/2022,,NBS1-000-077-507
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,20/10/2022,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000022059,,20/10/2022,,100-000-409-130
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,17/10/2022,SLOVAKIA,Debt with denomination < €100.000,Československá obchodná banka a.s. - 52990096Q5LMCH1WU462,SK4000022000,,18/10/2022,,100-000-407-451
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,17/10/2022,SLOVAKIA,Debt with denomination < €100.000 available only to qualified investors,Československá obchodná banka a.s. - 52990096Q5LMCH1WU462,SK4000022018,,18/10/2022,,100-000-407-452
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 3000000,,17/10/2022,SLOVAKIA,Debt with denomination < €100.000,Československá obchodná banka a.s. - 52990096Q5LMCH1WU462,SK4000022026,,18/10/2022,,100-000-407-455
