Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631322,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631405,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631595,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631678,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631751,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631835,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004631918,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/11/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630860,,15/11/2024,,240038318
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/10/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030522651,,29/10/2024,,240044436
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/10/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061480,,29/10/2024,,240044390
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,15/10/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030522149,,15/10/2024,,240043845
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",500000000,,01/10/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030467295,,01/10/2024,,240043402
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547804,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547994,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548026,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548109,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548372,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548299,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009548455,,25/09/2024,,240043125
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630191,,25/09/2024,,240043181
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,25/09/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630274,,25/09/2024,,240043181
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,18/09/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061217,,18/09/2024,,240042984
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/09/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416034,,17/09/2024,,240042935
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/09/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009416117,,17/09/2024,,DK240042935
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,NO0013316570,,29/08/2024,,240041417
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004630001,,29/08/2024,,240041417
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004629938,,29/08/2024,,240041417
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415739,,30/08/2024,,240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415655,,30/08/2024,,240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,29/08/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415812,,30/08/2024,,240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,13/08/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061134,,13/08/2024,,240040513
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,28/06/2024,DENMARK,Debt with denomination ≥ €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004629854,,28/06/2024,,240038363
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009546673,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009546756,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009546830,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547051,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547135,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547218,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547481,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547564,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547648,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009546590,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009546913,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0009547721,,14/06/2024,,DK 240037860
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415226,,14/06/2024,,DK240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415309,,14/06/2024,,DK240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415499,,14/06/2024,,DK240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415572,,14/06/2024,,DK240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009415143,,14/06/2024,,DK240037968
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002060839,,14/06/2024,,DK240037936
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002060912,,14/06/2024,,DK240037936
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002061050,,14/06/2024,,DK240037936
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,14/06/2024,DENMARK,Debt with denomination ≥ €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002060755,,14/06/2024,,DK240037936
Standalone Prospectus,Standalone prospectus,Not applicable,,10/06/2024,DENMARK,Shares,AALBORG BOLDSPILKLUB A/S - 213800V1SZZTH8PC1L04,DK0060868966,,11/06/2024,,DK240037782
Base Prospectus,Base prospectus with Final terms,60789077.76,,31/05/2024,DENMARK,Shares,Scandion Oncology A/S - 549300MPWDMQ5LZEGD09,DK0061031895,,01/07/2024,,DK2400372411
Base Prospectus,Base prospectus with Final terms,284948802,,31/05/2024,DENMARK,Convertible securities,Scandion Oncology A/S - 549300MPWDMQ5LZEGD09,DK0062957031,,01/07/2024,,DK2400372411
Base Prospectus,Base prospectus with Final terms,94982934,,31/05/2024,DENMARK,Convertible securities,Scandion Oncology A/S - 549300MPWDMQ5LZEGD09,DK0062957114,,01/07/2024,,DK2400372411
Standalone Prospectus,Standalone prospectus,Not applicable,03/06/2024,29/05/2024,DENMARK,Debt with denomination < €100.000,ZITON A/S - 213800F2WOUKCYJYYX95,NO0012928185,30/05/2024,29/05/2024,"NORWAY,SWEDEN",DK240057731
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/05/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004629771,,17/05/2024,,240036341
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/05/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004629698,,17/05/2024,,DK240036341
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,17/05/2024,DENMARK,Debt with denomination < €100.000,REALKREDIT DANMARK A/S - 549300NLOMBOWE943Y30,DK0004629508,,17/05/2024,,DKK240036341
Standalone Prospectus,Standalone prospectus,Not applicable,03/05/2024,01/05/2024,DENMARK,Debt with denomination ≥ €100.000,BidCo RelyOn Nutec A/S - 549300H0D90B41QTW740,NO0012904079,03/05/2024,03/05/2024,NORWAY,DK240050101
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,,23/04/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030451539,,23/04/2024,,240034800
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,16/04/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002060599,,16/04/2024,,240034172
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,16/04/2024,DENMARK,Debt with denomination < €100.000,NORDEA KREDIT REALKREDITAKTIESELSKAB - 52990080NNXXLC14OC65,DK0002060672,,16/04/2024,,240034172
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",600000000,,16/04/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030398110,,16/04/2024,,240034404
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 850000000,,10/04/2024,DENMARK,Debt with denomination ≥ €100.000,NYKREDIT REALKREDIT A/S - LIU16F6VZJSD6UKHD557,DK0030395603,,10/04/2024,,240034090
Standalone Prospectus,Standalone prospectus,Max 204000000,,05/04/2024,DENMARK,Shares,AQUAPORIN A/S - 894500AW5ZWMYUZN1V70,DK0061555109,,10/04/2024,,DK240034232
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,,04/04/2024,DENMARK,Debt with denomination < €100.000,Jyske Realkredit A/S - 529900R9HQNZRT2OXB26,DK0009414682,,04/04/2024,,240033637
