KEY,TITLE,TITLE_COMPL,PROSP3_MEASURE,FREQ,S_NCA,PROSP3_SECURITIES_TYPE,MTR,CURR_ISSNC,PROSP3_OFFER_TYPE,PROSP3_DOCUMENT_TYPE,SEC_TYPE_CFI,ISSUER_COU,ISSUER_SECTOR,PROSP3_PRSP_TYPE,PROSP3_SME_CAT_TYPE,PROSP3_PSSP,PROSP3_VENUE,PROSP3_LNGG,MV
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.CB.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed REITs in EEA30,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[CB] REITs,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.CF.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed FoFs in EEA30 with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[CF] FoFs,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.CP.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed PEs in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[CP] PEs,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DB.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in EEA30 with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DB] Bonds,Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DB.Z.ZALL_OTHR.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DB] Bonds,Z,[ZALL_OTHR] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DC.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed CVT Bonds in EEA30,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DC] CVT Bonds,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DD.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed DR on debt in EEA30 with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DD] DR on debt,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DE.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Structured debt (no capital protection) in EEA30 with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DE] Structured debt (no capital protection),Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DN.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Municipal bonds in EEA30,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DN] Municipal bonds,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DRVT.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Derivatives in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DRVT] Derivatives,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DRVT_DRVT.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Derivatives on derivatives in EEA30 with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DRVT_DRVT] Derivatives on derivatives,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DRVT_S.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Derivatives on  equity in EEA30 with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DRVT_S] Derivatives on  equity,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.DY.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed MMI in EEA30,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[DY] MMI,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.E.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[E] Equity,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.ED.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed DR equities in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[ED] DR equities,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.ES.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in EEA30 with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[ES] Shares,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.ES.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[ES] Shares,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.FFO.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Futures on Options in EEA30 with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[FFO] Futures on Options,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.RF.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Mini-future certificates in EEA30 with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[RF] Mini-future certificates,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.RM.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Other entitlements in EEA30,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[RM] Other entitlements,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.RW.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Warrants in EEA30 with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[RW] Warrants,Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.ZALL.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in EEA30 with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.A6.Z.Z.Z.Z.Z.ZNAV.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed CFI not available in EEA30 with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[A6] EEA30,Z,Z,Z,Z,Z,[ZNAV] CFI not available,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.AT.Z.Z.Z.Z.Z.DC.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed CVT Bonds in Austria with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[AT] Austria,Z,Z,Z,Z,Z,[DC] CVT Bonds,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.AT.Z.Z.Z.Z.Z.EY.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Structured instruments (participation) in Austria,,[MV] Consideration offer in EUR,[Q] quarterly,[AT] Austria,Z,Z,Z,Z,Z,[EY] Structured instruments (participation),Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.AT.Z.Z.Z.Z.Z.RF.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Mini-future certificates in Austria with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[AT] Austria,Z,Z,Z,Z,Z,[RF] Mini-future certificates,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.AT.Z.Z.Z.Z.Z.RW.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Warrants in Austria with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[AT] Austria,Z,Z,Z,Z,Z,[RW] Warrants,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.AT.Z.Z.Z.Z.Z.RW.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Warrants in Austria with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[AT] Austria,Z,Z,Z,Z,Z,[RW] Warrants,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.DG.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed MBS in Belgium with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[DG] MBS,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.E.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Belgium with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[E] Equity,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.E.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Belgium with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[E] Equity,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.EM.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Miscellaneous in Belgium with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[EM] Miscellaneous,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.EM.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Miscellaneous in Belgium,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[EM] Miscellaneous,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BE.Z.Z.Z.Z.Z.R.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Entitlement (rights) in Belgium with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[BE] Belgium,Z,Z,Z,Z,Z,[R] Entitlement (rights),Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BG.Z.Z.Z.Z.Z.E.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Bulgaria with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[BG] Bulgaria,Z,Z,Z,Z,Z,[E] Equity,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BG.Z.Z.Z.Z.Z.ES.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in Bulgaria with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[BG] Bulgaria,Z,Z,Z,Z,Z,[ES] Shares,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.BG.Z.Z.Z.Z.Z.ES.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in Bulgaria with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[BG] Bulgaria,Z,Z,Z,Z,Z,[ES] Shares,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.CY.Z.Z.Z.Z.Z.E.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Cyprus with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[CY] Cyprus,Z,Z,Z,Z,Z,[E] Equity,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.CZ.Z.Z.Z.Z.Z.DB.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in Czechia with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[CZ] Czechia,Z,Z,Z,Z,Z,[DB] Bonds,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.CZ.Z.Z.Z.Z.Z.E.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Czechia with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[CZ] Czechia,Z,Z,Z,Z,Z,[E] Equity,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.CZ.Z.Z.Z.Z.Z.E.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Czechia with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[CZ] Czechia,Z,Z,Z,Z,Z,[E] Equity,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DE.Z.Z.Z.Z.Z.E.Z.ZALL_OTHR.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Germany with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[DE] Germany,Z,Z,Z,Z,Z,[E] Equity,Z,[ZALL_OTHR] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DE.Z.Z.Z.Z.Z.R.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Entitlement (rights) in Germany with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[DE] Germany,Z,Z,Z,Z,Z,[R] Entitlement (rights),Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DE.Z.Z.Z.Z.Z.RW.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Warrants in Germany with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[DE] Germany,Z,Z,Z,Z,Z,[RW] Warrants,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DE.Z.Z.Z.Z.Z.ZALL.Z.S13.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in Germany with issuer in sector Government,,[MV] Consideration offer in EUR,[Q] quarterly,[DE] Germany,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,[S13] Government,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DE.Z.Z.Z.Z.Z.ZALL.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in Germany,,[MV] Consideration offer in EUR,[Q] quarterly,[DE] Germany,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DK.Z.Z.Z.Z.Z.D.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Debt in Denmark with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[DK] Denmark,Z,Z,Z,Z,Z,[D] Debt,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DK.Z.Z.Z.Z.Z.DB.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in Denmark with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[DK] Denmark,Z,Z,Z,Z,Z,[DB] Bonds,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.DK.Z.Z.Z.Z.Z.DT.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed MTN in Denmark,,[MV] Consideration offer in EUR,[Q] quarterly,[DK] Denmark,Z,Z,Z,Z,Z,[DT] MTN,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.EE.Z.Z.Z.Z.Z.ES.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in Estonia,,[MV] Consideration offer in EUR,[Q] quarterly,[EE] Estonia,Z,Z,Z,Z,Z,[ES] Shares,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.EE.Z.Z.Z.Z.Z.ZALL.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in Estonia with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[EE] Estonia,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.ES.Z.Z.Z.Z.Z.E.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Spain with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[ES] Spain,Z,Z,Z,Z,Z,[E] Equity,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.ES.Z.Z.Z.Z.Z.ES.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Shares in Spain with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[ES] Spain,Z,Z,Z,Z,Z,[ES] Shares,Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.ES.Z.Z.Z.Z.Z.R.Z.ZALL.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Entitlement (rights) in Spain with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[ES] Spain,Z,Z,Z,Z,Z,[R] Entitlement (rights),Z,[ZALL] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.ES.Z.Z.Z.Z.Z.ZALL.Z.ZALL_OTHR.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed All records if applicable in Spain with issuer in sector All sectors,,[MV] Consideration offer in EUR,[Q] quarterly,[ES] Spain,Z,Z,Z,Z,Z,[ZALL] All records if applicable,Z,[ZALL_OTHR] All sectors,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FI.Z.Z.Z.Z.Z.DB.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in Finland with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[FI] Finland,Z,Z,Z,Z,Z,[DB] Bonds,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FI.Z.Z.Z.Z.Z.E.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in Finland with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[FI] Finland,Z,Z,Z,Z,Z,[E] Equity,Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.D.Z.ZNAV.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Debt in France with issuer in sector Sector not available,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[D] Debt,Z,[ZNAV] Sector not available,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.DA.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed ABS in France with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[DA] ABS,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.DB.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Bonds in France with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[DB] Bonds,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.DC.Z.Z.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed CVT Bonds in France,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[DC] CVT Bonds,Z,Z,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.DE.Z.S11.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Structured debt (no capital protection) in France with issuer in sector Non-financial,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[DE] Structured debt (no capital protection),Z,[S11] Non-financial,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.DS.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Structured debt (capital protection) in France with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[DS] Structured debt (capital protection),Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.E.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Equity in France with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[E] Equity,Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
PROSP3.MV.Q.FR.Z.Z.Z.Z.Z.R.Z.S12.Z.Z.Z.Z.Z.Z,Quarterly consideration offered of filed Entitlement (rights) in France with issuer in sector Financial corporations,,[MV] Consideration offer in EUR,[Q] quarterly,[FR] France,Z,Z,Z,Z,Z,[R] Entitlement (rights),Z,[S12] Financial corporations,Z,Z,Z,Z,Z,Z
